Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH MAY MẶC XUẤT NHẬP KHẨU VT,VT IMPORT EXPORT GARMENT COMPANY LIMITED,1602185529,"Thửa đất số 177, Tờ bản đồ số 34, Đường Tỉnh lộ 955B, Khóm An Hòa A, Thị Trấn Ba Chúc, Huyện Tri Tôn, Tỉnh An Giang, Việt Nam",LÊ NHẤT HẠNH,0866188918,2024-08-27,Chi cục Thuế khu vực Tịnh Biên - Tri Tôn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH KIM LOAN KL,1602185568,,0936615826,,Chi cục Thuế khu vực Chợ Mới - Phú Tân,,,,
CÔNG TY TNHH PHẦN MỀM VI TÍNH SANG COMPUTER,1602185536,,0523666406,,Chi cục Thuế khu vực Tân Châu - An Phú,,,,
CÔNG TY TNHH THƯƠNG MẠI CHĂM SÓC CÂY XANH,1602185543,,0584366641,,Chi cục Thuế khu vực Tân Châu - An Phú,,,,
CÔNG TY TNHH THIẾT BỊ DỤNG CỤ ÂM THANH BTS,1602185550,,0523677704,,Chi cục Thuế khu vực Tịnh Biên - Tri Tôn,,,,
CÔNG TY TNHH PHÚ QUÍ PHÚ HÒA,1602185582,,0981286126,,Chi cục Thuế khu vực Châu Thành - Thoại Sơn,,,,
CÔNG TY TNHH HIẾU THẢO AG,HIEU THAO AG COMPANY LIMITED,"Số 212, Đường Nguyễn Trường Tộ, Khóm Bình Khánh 7, Phường Bình Khánh, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",,,2024-08-29,Chi cục thuế Tp Long Xuyên,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH HAI NHỮNG,1602185624,,0937411522,,Chi cục thuế Tp Long Xuyên,,,,
CÔNG TY TNHH VLXD ĐỨC PHÚC,1602185617,,0982101443,,Chi cục Thuế khu vực Châu Thành - Thoại Sơn,,,,
CÔNG TY TNHH VƯƠNG LÂM NGUYỄN,1602185631,,0978609228,,Cục Thuế Tỉnh An Giang,,,,
CÔNG TY TNHH BỐC XẾP TOÀN QUỐC,1602185663,,0981681801,,Chi cục Thuế khu vực Châu Đốc - Châu Phú,,,,
CÔNG TY TNHH MÔI GIỚI KHANG NGUYÊN,1602185670,,0589333330,,Chi cục Thuế khu vực Châu Đốc - Châu Phú,,,,
CÔNG TY TNHH MTV 2ĐNT,1602185649,,0783839739,,Chi cục Thuế khu vực Châu Đốc - Châu Phú,,,,
CÔNG TY TNHH KIM PHÚ QUÍ CHÂU PHÚ,1602185656,,0788776741,,Chi cục Thuế khu vực Châu Đốc - Châu Phú,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TUYẾT HỒNG TS,CÔNG TY TNHH TM DV TUYẾT HỒNG TS,"Khóm Đông Sơn 2, Thị Trấn Núi Sập, Huyện Thoại Sơn, Tỉnh An Giang, Việt Nam",,,2024-09-01,Chi cục Thuế khu vực Châu Thành - Thoại Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV TIỆM VÀNG TIẾN ĐẠT,1602185712,,,,,,,,
CÔNG TY TNHH TRUNG TSN,1602185737,,0353265226,,Chi cục Thuế khu vực Châu Thành - Thoại Sơn,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG THẮNG LUÂN,CTY TNHH MTV XÂY DỰNG THẮNG LUÂN,"Số 342, tổ 7, Ấp Phú Cường B, Xã Phú Thạnh, Huyện Phú Tân, Tỉnh An Giang, Việt Nam",,,,,,,
CHI NHÁNH AN GIANG - CÔNG TY TNHH TM DV CHÂU NGỌC THẢO,3703142571-008,,0383 199 696,,Chi cục thuế Tp Long Xuyên,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THÀNH SƠN,1600829640-001,,02963828703,,Chi cục Thuế khu vực Chợ Mới - Phú Tân,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ DU LỊCH LỮ HÀNH TÂM LINH CHUNG AN GIANG,CTY TNHH TM DV DLLH TÂM LINH CHUNG AN GIANG,"Ấp Hoà Long III, Thị Trấn An Châu, Huyện Châu Thành, Tỉnh An Giang, Việt Nam",,,2024-08-22,Chi cục Thuế khu vực Châu Thành - Thoại Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ XÂY DỰNG VẠN PHÁT LỘC,CTY TNHH TMDV XD VẠN PHÁT LỘC,"Tổ 22, Ấp Mỹ An 2, Xã Mỹ Hoà Hưng, Thành phố Long Xuyên, Tỉnh An Giang, Việt Nam",,,,,,,
CÔNG TY TNHH VINH QUANG TÂN CHÂU,1602185751,,,,,,,,
CHI NHÁNH CÔNG TY TNHH MAY MẶC XUẤT NHẬP KHẨU VT,1602185529-001,,0866188918,,Chi cục Thuế khu vực Tịnh Biên - Tri Tôn,,,,
CÔNG TY TNHH SHD AN GIANG,CTY TNHH SHD AG,"Đường Lê Đức Thọ, Ấp An Hưng, Thị Trấn An Phú, Huyện An Phú, Tỉnh An Giang, Việt Nam",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI NĂNG LƯỢNG PHÚC NGUYÊN,3502528487,,,,,,,,
CÔNG TY TNHH HOÀNG LONG MARINE,HOANG LONG MARINE COMPANY LIMITED,3502528423,"636/14 Trương Công Định, Phường Nguyễn An Ninh, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",HOÀNG THỊ SEN,0385458605,2024-09-05,Chi cục Thuế khu vực Vũng Tàu - Côn Đảo,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THƯƠNG MẠI TỔNG HỢP GIA MINH PHÁT,3502528529,,,,,,,,
CÔNG TY TNHH THƯƠNG MAI XUẤT NHẬP KHẨU THỰC PHẨM HUY HOÀNG,HUY HOANG FOOD IMPORT-EXPORT TRADING COMPANY LIMITED,"92/1 Trần Phú, Phường 5, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ PHÚ HỮU TRUNG,3502528511,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ GIÁO DỤC VÀ XÚC TIẾN THƯƠNG MẠI RIKICHI,RIKICHI EDUCATIONAL SERVICES AND TRADE PROMOTION COMPANY LIMITED,3502528462,"Số 28 Hạ Long, Phường 2, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",LÊ TRẦN BẢO TRÂM,,,,,
CÔNG TY TNHH DỊCH VỤ HÀNG HẢI SONG LINH,SONG LINH MARINE SERVICE COMPANY LIMITED,3502528494,"Số 27/B2 Lan Anh 4, Ấp Nam, Xã Hoà Long, Thành phố Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",BÙI NGỌC CHÍNH,,,,,
CÔNG TY TNHH TRÁNG MIỆNG & ĂN VẶT UMMM,UMMM DESSERTS & SNACKS COMPANY LIMITED,3502528455,"124/9 Bình Giã, Phường 8, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",TRƯƠNG THIÊN TRÚC,,,,,
CÔNG TY TNHH VẠN LỘC PHÁT VŨNG TÀU,3502528430,,,,,,,,
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI KÍNH HÀO PHÁT,3502527927,,0917154757,,Chi cục Thuế khu vực Xuyên Mộc - Châu Đức,,,,
CÔNG TY TNHH THIẾT KẾ THI CÔNG XÂY DỰNG THUẬN PHÁT GRANITE,3502528367,,0922312323,,Chi cục Thuế khu vực Vũng Tàu - Côn Đảo,,,,
CÔNG TY TNHH THIẾT BỊ VẬT TƯ KHÁNH SƠN,3502528399,,0919812252,,Chi cục Thuế khu vực Vũng Tàu - Côn Đảo,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KỸ THUẬT DTECH,DTECH TRADING SERVICE ENGINEERING COMPANY LIMITED,3502528335,"Ấp Cầu Mới, Xã Sông Xoài, Thị xã Phú Mỹ, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",ĐỖ THỊ LÝ,0389960393,2024-09-04,Chi cục Thuế Thị Xã Phú Mỹ,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
